subjectID,list_number,alternation,item_number,utterance,question,alt_tag,syntax_interpretation,answer,day,time,
A3HMBHM8HJLKRD,3,filler,55,The beekeeper selected a honeycomb carefully from a hive of swarming bees.,Did the beekeeper eat someone/something?,f35,No,No,3/7/2015,18:22,
A3HMBHM8HJLKRD,Yes,filler,f16,The translator found a car for the ambassador because he could no,3t speak Lebanese.,Was a car found for someone/something?,36,No,3/7/2015,18:22,
A3HMBHM8HJLKRD,3,filler,48,The rioter stapled the sign to a bulletin board in the corridor.,Did the rioter receive someone/something?,f28,No,No,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,filler,45,The dealer shuffled the deck before distributing the cards.,Did the cards receive someone/something?,f25,No,No,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,active/passive,7,The father sharpened the saw.,Did the saw sharpen something/someone?,7AP,No,No,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,filler,31,The colonel was knighted by the queen because of his loyalty.,Did the queen knight someone/something?,f11,Yes,Yes,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,filler,47,The cameraman was paid to follow a bridesmaid down the aisle with his camera.,Did the cameraman volunteer to film someone/something?,f27,No,No,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,active/passive,17,The aunt was purchased by the book.,Did the aunt purchase something/someone?,17PI,No,No,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,active/passive,1,The girl was kicked by the ball.,Did the girl kick something/someone?,1PI,No,No,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,active/passive,4,The stamp licked the secretary.,Did the secretary lick something/someone?,4AI,No,No,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,active/passive,8,The door opened the niece.,Did the door open something/someone?,8AI,Yes,Yes,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,filler,25,The toddler hugged a teddybear because he was scared.,Did the toddler hug someone/something?,f5,Yes,Yes,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,filler,59,The alum was offended by the solicitor because he asked very personal questions.,Did the alum receive someone/something?,f39,No,No,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,filler,53,The intern begged a programmer to edit the program because it was due the next day.,Did the intern receive someone/something?,f33,No,No,3/7/2015,18:23,
A3HMBHM8HJLKRD,3,filler,37,The acrobat respected the ballerina because she went to Juilliard.,Was the ballerina respected by someone/something?,f17,Yes,Yes,3/7/2015,18:24,
A3HMBHM8HJLKRD,3,filler,29,A socialite was greeted by the butler with a plate of caviar.,Did the butler greet someone/something?,f9,Yes,Yes,3/7/2015,18:24,
A3HMBHM8HJLKRD,3,filler,40,The preacher irritated a parishioner because she was used to shorter sermons.,Was the parishioner irritated by someone/something?,f20,Yes,Yes,3/7/2015,18:24,
A3HMBHM8HJLKRD,3,filler,23,The terrorist assassinated the newsman in cold blood.,Did the terrorist kill someone/something?,f3,Yes,Yes,3/7/2015,18:24,
A3HMBHM8HJLKRD,3,filler,30,The pirate stole the booty from an officer.,Did the pirate steal someone/something?,f10,Yes,Yes,3/7/2015,18:24,
A3HMBHM8HJLKRD,3,filler,43,The runner filled a bottle with cold tap water.,Did the runner receive someone/something?,f23,No,No,3/7/2015,18:24,
A3HMBHM8HJLKRD,3,filler,41,The playwright selected the understudy because of his resemblance to the lead actor.,Did the understudy receive someone/something?,f21,No,Yes,3/7/2015,18:24,
A3HMBHM8HJLKRD,3,active/passive,20,The letter wrote the husband.,Did the husband write something/someone?,20AI,No,No,3/7/2015,18:24,
A3HMBHM8HJLKRD,3,filler,38,The principal commended a parent for her ability to motivate her child.,Was the parent commended by someone/something?,f18,Yes,Yes,3/7/2015,18:24,
A3HMBHM8HJLKRD,3,filler,46,The trainer filled a bag with ice for the injured client.,Did the trainer receive someone/something?,f26,No,No,3/7/2015,18:24,
A3HMBHM8HJLKRD,3,filler,50,The trucker ordered a bartender to bring him a beer.,Did the bartender receive someone/something?,f30,No,No,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,filler,58,The cheerleader was treated by a doctor who had been watching the game.,Did the cheerleader call someone/something?,f38,No,No,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,active/passive,14,The window was closed by the sister.,Did the window close something/someone?,14PP,No,No,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,active/passive,10,The bowl was broken by the grandfather.,Did the bowl break something/someone?,10PP,No,No,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,filler,56,The Vikings raided a village in search of the warrior.,Did the warrior receive someone/something?,f36,No,No,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,filler,22,The commissioner wrote a report for the chairman.,Did the commissioner write someone/something?,f2,Yes,Yes,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,filler,44,The sculptor brought a shell from the ocean floor.,Did the shell receive someone/something?,f24,No,No,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,active/passive,9,The boy was eaten by the pizza.,Did the pizza eat something/someone?,9PI,Yes,Yes,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,filler,34,A bystander was rescued by the fireman in the nick of time.,Did the fireman rescue someone/something?,f14,Yes,Yes,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,filler,27,The witch was hanged by an executioner promptly at dawn.,Did the executioner hang someone/something?,f7,Yes,Yes,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,active/passive,19,The wife lit the candle.,Did the wife light something/someone?,19AP,Yes,Yes,3/7/2015,18:25,
A3HMBHM8HJLKRD,3,filler,52,The archivist found a document dating back to the Nixon administration.,Did the archivist receive someone/something?,f32,No,No,3/7/2015,18:26,
A3HMBHM8HJLKRD,3,active/passive,18,The boat was sailed by the uncle.,Did the uncle sail something/someone?,18PP,Yes,Yes,3/7/2015,18:26,
A3HMBHM8HJLKRD,3,active/passive,15,The grandson sipped the water.,Did the water sip something/someone?,15AP,No,No,3/7/2015,18:26,
A3HMBHM8HJLKRD,3,active/passive,16,The train boarded the granddaughter.,Did the granddaughter board something/someone?,16AI,No,No,3/7/2015,18:26,
A3HMBHM8HJLKRD,3,active/passive,6,The blanket was folded by the daughter.,Did the blanket fold something/someone?,6PP,No,No,3/7/2015,18:26,
A3HMBHM8HJLKRD,3,active/passive,13,The electrician was stolen by the hammer.,Did the hammer steal something/someone?,13PI,Yes,Yes,3/7/2015,18:26,
A3HMBHM8HJLKRD,3,filler,21,The professor conducted an inquiry into the status of the file.,Did the professor conduct someone/something?,f1,Yes,Yes,3/7/2015,18:26,
A3HMBHM8HJLKRD,3,filler,35,The defendant misled a juryman when she said that she worked for the government.,Was the juryman misled by someone/something?,f15,Yes,Yes,3/7/2015,18:26,
A3HMBHM8HJLKRD,3,filler,49,The paramedic helped an invalid into the brick building,Did the paramedic receive someone/something?,f29,No,No,3/7/2015,18:26,
A3HMBHM8HJLKRD,3,filler,42,The insurer paid the victim because his car had been destroyed.,Did the victim pay someone/something?,f22,No,No,3/7/2015,18:26,
A3HMBHM8HJLKRD,list_number,alt,item_number,utterance,question,alt_tag,syntax_interpretation,No,3/7/2015,18:27,
A3HMBHM8HJLKRD,3,filler,28,The pianist met with a beautician to prepare for her recital.,Did the pianist meet with someone/something?,f8,Yes,No,3/7/2015,18:27,
A3HMBHM8HJLKRD,3,filler,24,A legislator lied to the consultant about a new bill.,Did the legislator lie about someone/something?,f4,Yes,Yes,3/7/2015,18:27,
A3HMBHM8HJLKRD,3,filler,26,The spy monitored a baroness for several months.,Did the spy watch someone/something?,f6,Yes,Yes,3/7/2015,18:27,
A3HMBHM8HJLKRD,3,active/passive,12,The oven cleaned the grandmother.,Did the oven clean something/someone?,12AI,Yes,Yes,3/7/2015,18:27,
A3HMBHM8HJLKRD,3,filler,33,The supplier described a scenario for the class after explaining basic concepts.,Did the supplier explain someone/something?,f13,Yes,Yes,3/7/2015,18:27,
A3HMBHM8HJLKRD,3,filler,57,The jewelry-maker was commissioned by the millionaire.,Did the millionaire receive someone/something?,f37,No,No,3/7/2015,18:27,
A3HMBHM8HJLKRD,3,filler,54,The surgeon called for a nurse to assist him with the operation.,Did the nurse receive someone/something?,f34,No,No,3/7/2015,18:27,
A3HMBHM8HJLKRD,3,active/passive,5,The mother was set by the table.,Did the mother set something/someone?,5PI,No,No,3/7/2015,18:27,
A3HMBHM8HJLKRD,3,filler,51,The performer lifted the acrobat onto her shoulders gracefully.,Did the acrobat receive someone/something?,f31,No,No,3/7/2015,18:27,
A3HMBHM8HJLKRD,3,filler,32,The spokesman toasted a muffin for the agent after the early morning appointment.,Did the spokesman do something for someone/something?,f12,Yes,Yes,3/7/2015,18:27,
