subjectID,list_number,alternation,item_number,utterance,question,alt_tag,syntax_interpretation,answer,day,time,
A1R02UXIIZL1SO,2,filler,60,The astronaut accepted the mission.,Did the astronaut receive someone/something?,f40,No,Yes,3/7/2015,18:20,
A1R02UXIIZL1SO,1,filler,29,A socialite was greeted by the butler with a plate of caviar.,Did the butler greet someone/something?,f9,Yes,Yes,3/7/2015,18:20,
A1R02UXIIZL1SO,1,filler,46,The trainer filled a bag with ice for the injured client.,Did the trainer receive someone/something?,f26,No,No,3/7/2015,18:20,
A1R02UXIIZL1SO,1,filler,39,The robot killed a scientist before escaping from the laboratory.,Did the robot escape from someone/something?,f19,Yes,Yes,3/7/2015,18:20,
A1R02UXIIZL1SO,1,filler,26,The spy monitored a baroness for several months.,Did the spy watch someone/something?,f6,Yes,Yes,3/7/2015,18:20,
A1R02UXIIZL1SO,1,trans/intrans,3,The child with a learning disability benefited the extra time.,Did the extra time benefit from anything?,3TI,Yes,No,3/7/2015,18:21,
A1R02UXIIZL1SO,1,trans/intrans,4,The bribes profited from the corrupt politicians.,Did the politicians profit from anything?,4PI,No,No,3/7/2015,18:21,
A1R02UXIIZL1SO,1,filler,55,The beekeeper selected a honeycomb carefully from a hive of swarming bees.,Did the beekeeper eat someone/something?,f35,No,No,3/7/2015,18:21,
A1R02UXIIZL1SO,1,trans/intrans,1,The tax law benefited the businessman.,Did the tax law benefit from anything?,1TP,No,No,3/7/2015,18:21,
A1R02UXIIZL1SO,1,trans/intrans,16,The humidity worsened from the eczema.,Was the eczema worsened by anything?,16PI,No,Yes,3/7/2015,18:21,
A1R02UXIIZL1SO,1,trans/intrans,14,The ice cream melted from the hot coffee.,Did the ice cream melt from anything?,14PP,Yes,Yes,3/7/2015,18:21,
A1R02UXIIZL1SO,1,trans/intrans,11,The new cotton t-shirt shrank the dryer.,Was the dryer shrunken by anything?,11TI,Yes,No,3/7/2015,18:21,
A1R02UXIIZL1SO,1,filler,52,The archivist found a document dating back to the Nixon administration.,Did the archivist receive someone/something?,f32,No,No,3/7/2015,18:22,
A1R02UXIIZL1SO,1,trans/intrans,7,The patient's condition deteriorated the new medicine.,Did the medicine deteriorate from anything?,7TI,Yes,Yes,3/7/2015,18:22,
A1R02UXIIZL1SO,1,trans/intrans,13,The hot stove melted the plastic handle.,Was the hot stove melted by anything?,13TP,No,No,3/7/2015,18:22,
A1R02UXIIZL1SO,1,filler,42,The insurer paid the victim because his car had been destroyed.,Did the victim pay someone/something?,f22,No,No,3/7/2015,18:22,
A1R02UXIIZL1SO,1,filler,53,The intern begged a programmer to edit the program because it was due the next day.,Did the intern receive someone/something?,f33,No,No,3/7/2015,18:22,
A1R02UXIIZL1SO,1,trans/intrans,18,The house shattered from the earthquake.,Was the house shattered by anything?,18PP,Yes,Yes,3/7/2015,18:22,
A1R02UXIIZL1SO,1,trans/intrans,17,The construction noise worsened the man's hearing.,Was the construction noise worsened by anything?,17TP,No,No,3/7/2015,18:22,
A1R02UXIIZL1SO,1,trans/intrans,15,The butter melted the microwave.,Was the microwave melted by anything?,15TI,Yes,No,3/7/2015,18:22,
A1R02UXIIZL1SO,1,filler,25,The toddler hugged a teddybear because he was scared.,Did the toddler hug someone/something?,f5,Yes,Yes,3/7/2015,18:23,
A1R02UXIIZL1SO,1,filler,30,The pirate stole the booty from an officer.,Did the pirate steal someone/something?,f10,Yes,Yes,3/7/2015,18:23,
A1R02UXIIZL1SO,1,trans/intrans,6,The millionaire profited from the tax reduction.,Did the millionaire profit from anything?,6PP,Yes,Yes,3/7/2015,18:25,
A1R02UXIIZL1SO,1,filler,44,The sculptor brought a shell from the ocean floor.,Did the shell receive someone/something?,f24,No,No,3/7/2015,18:25,
A1R02UXIIZL1SO,1,filler,45,The dealer shuffled the deck before distributing the cards.,Did the cards receive someone/something?,f25,No,No,3/7/2015,18:25,
A1R02UXIIZL1SO,1,trans/intrans,8,The bad lighting deteriorated from the woman's eyesight.,Did the woman's eyesight deteriorate from anything?,8PI,No,No,3/7/2015,18:25,
A1R02UXIIZL1SO,1,filler,37,The acrobat respected the ballerina because she went to Juilliard.,Was the ballerina respected by someone/something?,f17,Yes,Yes,3/7/2015,18:25,
A1R02UXIIZL1SO,1,filler,32,The spokesman toasted a muffin for the agent after the early morning appointment.,Did the spokesman do something for someone/something?,f12,Yes,Yes,3/7/2015,18:26,
A1R02UXIIZL1SO,1,filler,40,The preacher irritated a parishioner because she was used to shorter sermons.,Was the parishioner irritated by someone/something?,f20,Yes,Yes,3/7/2015,18:26,
A1R02UXIIZL1SO,1,filler,23,The terrorist assassinated the newsman in cold blood.,Did the terrorist kill someone/something?,f3,Yes,Yes,3/7/2015,18:26,
A1R02UXIIZL1SO,1,filler,24,A legislator lied to the consultant about a new bill.,Did the legislator lie about someone/something?,f4,Yes,Yes,3/7/2015,18:26,
A1R02UXIIZL1SO,1,trans/intrans,9,The long drought deteriorated the soil.,Did the drought deteriorate from anything?,9TP,No,No,3/7/2015,18:26,
A1R02UXIIZL1SO,1,filler,58,The cheerleader was treated by a doctor who had been watching the game.,Did the cheerleader call someone/something?,f38,No,No,3/7/2015,18:26,
A1R02UXIIZL1SO,1,filler,22,The commissioner wrote a report for the chairman.,Did the commissioner write someone/something?,f2,Yes,Yes,3/7/2015,18:26,
A1R02UXIIZL1SO,1,filler,59,The alum was offended by the solicitor because he asked very personal questions.,Did the alum receive someone/something?,f39,No,No,3/7/2015,18:27,
A1R02UXIIZL1SO,1,trans/intrans,2,The player benefited from the intense practice.,Did the player benefit from anything?,2PP,Yes,Yes,3/7/2015,18:27,
A1R02UXIIZL1SO,1,filler,51,The performer lifted the acrobat onto her shoulders gracefully.,Did the acrobat receive someone/something?,f31,No,No,3/7/2015,18:27,
A1R02UXIIZL1SO,1,filler,21,The professor conducted an inquiry into the status of the file.,Did the professor conduct someone/something?,f1,Yes,Yes,3/7/2015,18:27,
A1R02UXIIZL1SO,1,trans/intrans,12,The chemotherapy shrank from the tumor.,Was the tumor shrunken by anything?,12PI,No,No,3/7/2015,18:28,
A1R02UXIIZL1SO,1,trans/intrans,19,The lasagna defrosted the oven.,Was the oven defrosted by anything?,19TI,Yes,Yes,3/7/2015,18:28,
A1R02UXIIZL1SO,1,filler,50,The trucker ordered a bartender to bring him a beer.,Did the bartender receive someone/something?,f30,No,No,3/7/2015,18:28,
A1R02UXIIZL1SO,1,trans/intrans,10,The new sweatshirt shrank inside the washing machine.,Was the sweatshirt shrunken by anything?,10PP,Yes,No,3/7/2015,18:29,
A1R02UXIIZL1SO,1,filler,34,A bystander was rescued by the fireman in the nick of time.,Did the fireman rescue someone/something?,f14,Yes,Yes,3/7/2015,18:29,
A1R02UXIIZL1SO,1,filler,41,The playwright selected the understudy because of his resemblance to the lead actor.,Did the understudy receive someone/something?,f21,No,No,3/7/2015,18:29,
A1R02UXIIZL1SO,1,trans/intrans,5,The contract profited the business.,Did the contract profit from anything?,5TP,No,Yes,3/7/2015,18:29,
A1R02UXIIZL1SO,1,filler,38,The principal commended a parent for her ability to motivate her child.,Was the parent commended by someone/something?,f18,Yes,Yes,3/7/2015,18:29,
A1R02UXIIZL1SO,1,filler,31,The colonel was knighted by the queen because of his loyalty.,Did the queen knight someone/something?,f11,Yes,Yes,3/7/2015,18:29,
A1R02UXIIZL1SO,1,filler,28,The pianist met with a beautician to prepare for her recital.,Did the pianist meet with someone/something?,f8,Yes,Yes,3/7/2015,18:29,
A1R02UXIIZL1SO,Yes,filler,f16,The translator found a car for the ambassador because he could no,2t speak Lebanese.,Was a car found for someone/something?,36,Yes,3/7/2015,18:29,
A1R02UXIIZL1SO,1,filler,35,The defendant misled a juryman when she said that she worked for the government.,Was the juryman misled by someone/something?,f15,Yes,Yes,3/7/2015,18:29,
A1R02UXIIZL1SO,1,filler,54,The surgeon called for a nurse to assist him with the operation.,Did the nurse receive someone/something?,f34,No,No,3/7/2015,18:30,
A1R02UXIIZL1SO,1,filler,47,The cameraman was paid to follow a bridesmaid down the aisle with his camera.,Did the cameraman volunteer to film someone/something?,f27,No,No,3/7/2015,18:30,
A1R02UXIIZL1SO,1,filler,43,The runner filled a bottle with cold tap water.,Did the runner receive someone/something?,f23,No,No,3/7/2015,18:30,
A1R02UXIIZL1SO,1,filler,49,The paramedic helped an invalid into the brick building,Did the paramedic receive someone/something?,f29,No,No,3/7/2015,18:30,
A1R02UXIIZL1SO,1,filler,57,The jewelry-maker was commissioned by the millionaire.,Did the millionaire receive someone/something?,f37,No,No,3/7/2015,18:30,
A1R02UXIIZL1SO,1,trans/intrans,20,The microwave defrosted inside the broccoli.,Was the broccoli defrosted by anything?,20PI,No,No,3/7/2015,18:30,
A1R02UXIIZL1SO,1,filler,48,The rioter stapled the sign to a bulletin board in the corridor.,Did the rioter receive someone/something?,f28,No,No,3/7/2015,18:30,
A1R02UXIIZL1SO,1,filler,56,The Vikings raided a village in search of the warrior.,Did the warrior receive someone/something?,f36,No,No,3/7/2015,18:30,
A1R02UXIIZL1SO,1,filler,33,The supplier described a scenario for the class after explaining basic concepts.,Did the supplier explain someone/something?,f13,Yes,Yes,3/7/2015,18:30,
A1R02UXIIZL1SO,1,filler,27,The witch was hanged by an executioner promptly at dawn.,Did the executioner hang someone/something?,f7,Yes,Yes,3/7/2015,18:30,
