alt,utterance,question,alt_tag,item_number,syntax_interpretation,list_number
active/passive,The plumber bought the watch.,Did the plumber buy something/someone?,2AP,2,Yes,2
active/passive,The truck drove the man.,Did the man drive something/someone?,3AI,3,No,2
active/passive,The secretary was licked by the stamp.,Did the secretary lick something/someone?,4PI,4,No,2
active/passive,The table was set by the mother.,Did the mother set something/someone?,5PP,5,Yes,2
active/passive,The daughter folded the blanket.,Did the blanket fold something/someone?,6AP,6,No,2
active/passive,The saw sharpened the father.,Did the saw sharpen something/someone?,7AI,7,Yes,2
active/passive,The niece was opened by the door.,Did the door open something/someone?,8PI,8,Yes,2
active/passive,The pizza was eaten by the boy.,Did the pizza eat something/someone?,9PP,9,No,2
active/passive,The grandfather broke the bowl.,Did the bowl break something/someone?,10AP,10,No,2
active/passive,The diamond lost the woman.,Did the diamond lose something/someone?,11AI,11,Yes,2
active/passive,The grandmother was cleaned by the oven.,Did the oven clean something/someone?,12PI,12,Yes,2
active/passive,The hammer was stolen by the electrician.,Did the hammer steal something/someone?,13PP,13,No,2
active/passive,The sister closed the window.,Did the window close something/someone?,14AP,14,No,2
active/passive,The water sipped the grandson.,Did the water sip something/someone?,15AI,15,Yes,2
active/passive,The granddaughter was boarded by the train.,Did the granddaughter board something/someone?,16PI,16,No,2
active/passive,The book was purchased by the aunt.,Did the aunt purchase something/someone?,17PP,17,Yes,2
active/passive,The uncle sailed the boat.,Did the uncle sail something/someone?,18AP,18,Yes,2
active/passive,The candle lit the wife.,Did the wife light something/someone?,19AI,19,No,2
active/passive,The husband was written by the letter.,Did the husband write something/someone?,20PI,20,No,2
active/passive,The ball was kicked by the girl.,Did the girl kick something/someone?,1PP,1,Yes,2
filler,The professor conducted an inquiry into the status of the file.,Did the professor conduct someone/something?,f1,21,Yes,2
filler,The commissioner wrote a report for the chairman.,Did the commissioner write someone/something?,f2,22,Yes,2
filler,The terrorist assassinated the newsman in cold blood.,Did the terrorist kill someone/something?,f3,23,Yes,2
filler,A legislator lied to the consultant about a new bill.,Did the legislator lie about someone/something?,f4,24,Yes,2
filler,The toddler hugged a teddybear because he was scared.,Did the toddler hug someone/something?,f5,25,Yes,2
filler,The spy monitored a baroness for several months.,Did the spy watch someone/something?,f6,26,Yes,2
filler,The witch was hanged by an executioner promptly at dawn.,Did the executioner hang someone/something?,f7,27,Yes,2
filler,The pianist met with a beautician to prepare for her recital.,Did the pianist meet with someone/something?,f8,28,Yes,2
filler,A socialite was greeted by the butler with a plate of caviar.,Did the butler greet someone/something?,f9,29,Yes,2
filler,The pirate stole the booty from an officer.,Did the pirate steal someone/something?,f10,30,Yes,2
filler,The colonel was knighted by the queen because of his loyalty.,Did the queen knight someone/something?,f11,31,Yes,2
filler,The spokesman toasted a muffin for the agent after the early morning appointment.,Did the spokesman do something for someone/something?,f12,32,Yes,2
filler,The supplier described a scenario for the class after explaining basic concepts.,Did the supplier explain someone/something?,f13,33,Yes,2
filler,A bystander was rescued by the fireman in the nick of time.,Did the fireman rescue someone/something?,f14,34,Yes,2
filler,The defendant misled a juryman when she said that she worked for the government.,Was the juryman misled by someone/something?,f15,35,Yes,2
filler,The translator found a car for the ambassador because he could no,2t speak Lebanese.,Was a car found for someone/something?,f16,36,Yes,2
filler,The acrobat respected the ballerina because she went to Juilliard.,Was the ballerina respected by someone/something?,f17,37,Yes,2
filler,The principal commended a parent for her ability to motivate her child.,Was the parent commended by someone/something?,f18,38,Yes,2
filler,The robot killed a scientist before escaping from the laboratory.,Did the robot escape from someone/something?,f19,39,Yes,2
filler,The preacher irritated a parishioner because she was used to shorter sermons.,Was the parishioner irritated by someone/something?,f20,40,Yes,2
filler,The playwright selected the understudy because of his resemblance to the lead actor.,Did the understudy receive someone/something?,f21,41,No,2
filler,The insurer paid the victim because his car had been destroyed.,Did the victim pay someone/something?,f22,42,No,2
filler,The runner filled a bottle with cold tap water.,Did the runner receive someone/something?,f23,43,No,2
filler,The sculptor brought a shell from the ocean floor.,Did the shell receive someone/something?,f24,44,No,2
filler,The dealer shuffled the deck before distributing the cards.,Did the cards receive someone/something?,f25,45,No,2
filler,The trainer filled a bag with ice for the injured client.,Did the trainer receive someone/something?,f26,46,No,2
filler,The cameraman was paid to follow a bridesmaid down the aisle with his camera.,Did the cameraman volunteer to film someone/something?,f27,47,No,2
filler,The rioter stapled the sign to a bulletin board in the corridor.,Did the rioter receive someone/something?,f28,48,No,2
filler,The paramedic helped an invalid into the brick building,Did the paramedic receive someone/something?,f29,49,No,2
filler,The trucker ordered a bartender to bring him a beer.,Did the bartender receive someone/something?,f30,50,No,2
filler,The performer lifted the acrobat onto her shoulders gracefully.,Did the acrobat receive someone/something?,f31,51,No,2
filler,The archivist found a document dating back to the Nixon administration.,Did the archivist receive someone/something?,f32,52,No,2
filler,The intern begged a programmer to edit the program because it was due the next day.,Did the intern receive someone/something?,f33,53,No,2
filler,The surgeon called for a nurse to assist him with the operation.,Did the nurse receive someone/something?,f34,54,No,2
filler,The beekeeper selected a honeycomb carefully from a hive of swarming bees.,Did the beekeeper eat someone/something?,f35,55,No,2
filler,The Vikings raided a village in search of the warrior.,Did the warrior receive someone/something?,f36,56,No,2
filler,The jewelry-maker was commissioned by the millionaire.,Did the millionaire receive someone/something?,f37,57,No,2
filler,The cheerleader was treated by a doctor who had been watching the game.,Did the cheerleader call someone/something?,f38,58,No,2
filler,The alum was offended by the solicitor because he asked very personal questions.,Did the alum receive someone/something?,f39,59,No,2
filler,The astronaut accepted the mission.,Did the astronaut receive someone/something?,f40,60,No,2
