subjectID,list_number,alternation,item_number,utterance,question,alt_tag,syntax_interpretation,answer,day,time,
ATB2R1NG3IVSF,1,filler,48,The rioter stapled the sign to a bulletin board in the corridor.,Did the rioter receive someone/something?,f28,No,No,3/8/2015,5:37,
ATB2R1NG3IVSF,1,filler,24,A legislator lied to the consultant about a new bill.,Did the legislator lie about someone/something?,f4,Yes,Yes,3/8/2015,5:37,
ATB2R1NG3IVSF,1,filler,45,The dealer shuffled the deck before distributing the cards.,Did the cards receive someone/something?,f25,No,No,3/8/2015,5:37,
ATB2R1NG3IVSF,1,filler,57,The jewelry-maker was commissioned by the millionaire.,Did the millionaire receive someone/something?,f37,No,No,3/8/2015,5:37,
ATB2R1NG3IVSF,1,locInversion,17,The mobile was hanging from the ceiling.,Was the ceiling hanging from the mobile?,17PO,No,No,3/8/2015,5:37,
ATB2R1NG3IVSF,1,filler,60,The astronaut accepted the mission.,Did the astronaut receive someone/something?,f40,No,No,3/8/2015,5:37,
ATB2R1NG3IVSF,1,filler,40,The preacher irritated a parishioner because she was used to shorter sermons.,Was the parishioner irritated by someone/something?,f20,Yes,Yes,3/8/2015,5:37,
ATB2R1NG3IVSF,1,filler,56,The Vikings raided a village in search of the warrior.,Did the warrior receive someone/something?,f36,No,No,3/8/2015,5:37,
ATB2R1NG3IVSF,1,filler,39,The robot killed a scientist before escaping from the laboratory.,Did the robot escape from someone/something?,f19,Yes,Yes,3/8/2015,5:37,
ATB2R1NG3IVSF,1,filler,26,The spy monitored a baroness for several months.,Did the spy watch someone/something?,f6,Yes,Yes,3/8/2015,5:38,
ATB2R1NG3IVSF,1,filler,58,The cheerleader was treated by a doctor who had been watching the game.,Did the cheerleader call someone/something?,f38,No,No,3/8/2015,5:38,
ATB2R1NG3IVSF,1,filler,34,A bystander was rescued by the fireman in the nick of time.,Did the fireman rescue someone/something?,f14,Yes,Yes,3/8/2015,5:38,
ATB2R1NG3IVSF,1,filler,22,The commissioner wrote a report for the chairman.,Did the commissioner write someone/something?,f2,Yes,Yes,3/8/2015,5:38,
ATB2R1NG3IVSF,1,filler,29,A socialite was greeted by the butler with a plate of caviar.,Did the butler greet someone/something?,f9,Yes,Yes,3/8/2015,5:38,
ATB2R1NG3IVSF,1,locInversion,15,In some treasure was found the cave.,Was the cave found inside the treasure?,15IS,Yes,No,3/8/2015,5:38,
ATB2R1NG3IVSF,1,filler,25,The toddler hugged a teddybear because he was scared.,Did the toddler hug someone/something?,f5,Yes,Yes,3/8/2015,5:38,
ATB2R1NG3IVSF,1,filler,41,The playwright selected the understudy because of his resemblance to the lead actor.,Did the understudy receive someone/something?,f21,No,No,3/8/2015,5:38,
ATB2R1NG3IVSF,1,locInversion,16,The ring was engraved on the name.,Was the ring engraved on the name?,16IO,Yes,Yes,3/8/2015,5:38,
ATB2R1NG3IVSF,1,filler,50,The trucker ordered a bartender to bring him a beer.,Did the bartender receive someone/something?,f30,No,No,3/8/2015,5:38,
ATB2R1NG3IVSF,1,filler,42,The insurer paid the victim because his car had been destroyed.,Did the victim pay someone/something?,f22,No,No,3/8/2015,5:38,
ATB2R1NG3IVSF,1,filler,37,The acrobat respected the ballerina because she went to Juilliard.,Was the ballerina respected by someone/something?,f17,Yes,Yes,3/8/2015,5:38,
ATB2R1NG3IVSF,1,locInversion,14,At the station arrived the train.,Did the station arrive at the train?,14PS,No,No,3/8/2015,5:38,
