subjectID,list_number,alternation,item_number,utterance,question,alt_tag,syntax_interpretation,answer,day,time,
A2HSCKH5NKN5LP,4,filler,38,The principal commended a parent for her ability to motivate her child.,Was the parent commended by someone/something?,f18,Yes,Yes,3/8/2015,4:04,
A2HSCKH5NKN5LP,4,trans/intrans,13,The humidity worsened the eczema.,Was the eczema worsened by anything?,16TP,Yes,Yes,3/8/2015,4:04,
A2HSCKH5NKN5LP,4,filler,50,The trucker ordered a bartender to bring him a beer.,Did the bartender receive someone/something?,f30,No,No,3/8/2015,4:04,
A2HSCKH5NKN5LP,4,filler,32,The spokesman toasted a muffin for the agent after the early morning appointment.,Did the spokesman do something for someone/something?,f12,Yes,Yes,3/8/2015,4:04,
A2HSCKH5NKN5LP,4,filler,52,The archivist found a document dating back to the Nixon administration.,Did the archivist receive someone/something?,f32,No,No,3/8/2015,4:05,
A2HSCKH5NKN5LP,4,filler,46,The trainer filled a bag with ice for the injured client.,Did the trainer receive someone/something?,f26,No,No,3/8/2015,4:05,
A2HSCKH5NKN5LP,4,filler,42,The insurer paid the victim because his car had been destroyed.,Did the victim pay someone/something?,f22,No,No,3/8/2015,4:05,
A2HSCKH5NKN5LP,4,trans/intrans,11,The ice cream melted the hot coffee.,Did the ice cream melt from anything?,14TI,No,Yes,3/8/2015,4:05,
A2HSCKH5NKN5LP,4,trans/intrans,8,The dryer shrank inside the new cotton t-shirt.,Was the dryer shrunken by anything?,11PI,Yes,Yes,3/8/2015,4:05,
A2HSCKH5NKN5LP,4,trans/intrans,10,The plastic handled melted from the hot stove.,Was the hot stove melted by anything?,13PP,No,No,3/8/2015,4:05,
A2HSCKH5NKN5LP,4,filler,56,The Vikings raided a village in search of the warrior.,Did the warrior receive someone/something?,f36,No,No,3/8/2015,4:05,
A2HSCKH5NKN5LP,2,filler,60,The astronaut accepted the mission.,Did the astronaut receive someone/something?,f40,No,Yes,3/8/2015,4:05,
A2HSCKH5NKN5LP,4,filler,25,The toddler hugged a teddybear because he was scared.,Did the toddler hug someone/something?,f5,Yes,Yes,3/8/2015,4:05,
A2HSCKH5NKN5LP,4,filler,21,The professor conducted an inquiry into the status of the file.,Did the professor conduct someone/something?,f1,Yes,Yes,3/8/2015,4:05,
A2HSCKH5NKN5LP,4,trans/intrans,14,The man's hearing worsened from the construction noise.,Was the construction noise worsened by anything?,17PP,No,No,3/8/2015,4:05,
A2HSCKH5NKN5LP,4,filler,28,The pianist met with a beautician to prepare for her recital.,Did the pianist meet with someone/something?,f8,Yes,Yes,3/8/2015,4:05,
