subjectID,list_number,alternation,item_number,utterance,question,alt_tag,syntax_interpretation,answer,day,time,
A2KA1H6AA3Y80G,4,locInversion,4,The hallway crawled into the baby.,Did the baby go into the hallway?,7IO,No,No,3/8/2015,11:19,
A2KA1H6AA3Y80G,4,filler,54,The surgeon called for a nurse to assist him with the operation.,Did the nurse receive someone/something?,f34,No,No,3/8/2015,11:19,
A2KA1H6AA3Y80G,4,filler,30,The pirate stole the booty from an officer.,Did the pirate steal someone/something?,f10,Yes,Yes,3/8/2015,11:19,
A2KA1H6AA3Y80G,4,filler,27,The witch was hanged by an executioner promptly at dawn.,Did the executioner hang someone/something?,f7,Yes,Yes,3/8/2015,11:19,
A2KA1H6AA3Y80G,4,locInversion,2,In the church sang a choir.,Did a choir sing inside the church?,5PS,Yes,Yes,3/8/2015,11:19,
A2KA1H6AA3Y80G,4,locInversion,18,On the prince's finger sparkled a magnificent diamond.,Was there a diamond on the prince's finger?,1PS,Yes,Yes,3/8/2015,11:19,
A2KA1H6AA3Y80G,4,filler,23,The terrorist assassinated the newsman in cold blood.,Did the terrorist kill someone/something?,f3,Yes,Yes,3/8/2015,11:19,
A2KA1H6AA3Y80G,4,locInversion,10,Above the bed appeared a ghost.,Did the bed appear above a ghost?,13PS,No,No,3/8/2015,11:19,
A2KA1H6AA3Y80G,4,locInversion,1,A cat jumped onto the table.,Was there a cat on the table?,4PO,Yes,Yes,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,locInversion,5,The marathoner ran into the stadium.,Did the marathoner go into the stadium?,8PO,Yes,Yes,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,filler,51,The performer lifted the acrobat onto her shoulders gracefully.,Did the acrobat receive someone/something?,f31,No,No,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,filler,41,The playwright selected the understudy because of his resemblance to the lead actor.,Did the understudy receive someone/something?,f21,No,No,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,filler,33,The supplier described a scenario for the class after explaining basic concepts.,Did the supplier explain someone/something?,f13,Yes,Yes,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,locInversion,16,The check was written on the defendant's name.,Was the check written on the defendant's name?,19IO,Yes,Yes,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,filler,58,The cheerleader was treated by a doctor who had been watching the game.,Did the cheerleader call someone/something?,f38,No,No,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,locInversion,13,The name was engraved on the ring.,Was the ring engraved on the name?,16PO,No,No,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,locInversion,19,On a flowering plant is the window sill.,Is there a plant on the window sill?,2IS,No,No,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,filler,47,The cameraman was paid to follow a bridesmaid down the aisle with his camera.,Did the cameraman volunteer to film someone/something?,f27,No,No,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,filler,36,The translator found a car for the ambassador because he could not speak Lebanese.,Was a car found for someone/something?,f16,Yes,Yes,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,locInversion,17,The moose's head was mounted on the wall.,Was the wall mounted on the moose's head?,20PO,No,No,3/8/2015,11:20,
A2KA1H6AA3Y80G,4,filler,37,The acrobat respected the ballerina because she went to Juilliard.,Was the ballerina respected by someone/something?,f17,Yes,Yes,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,filler,46,The trainer filled a bag with ice for the injured client.,Did the trainer receive someone/something?,f26,No,No,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,filler,29,A socialite was greeted by the butler with a plate of caviar.,Did the butler greet someone/something?,f9,Yes,Yes,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,filler,52,The archivist found a document dating back to the Nixon administration.,Did the archivist receive someone/something?,f32,No,No,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,filler,38,The principal commended a parent for her ability to motivate her child.,Was the parent commended by someone/something?,f18,Yes,Yes,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,filler,48,The rioter stapled the sign to a bulletin board in the corridor.,Did the rioter receive someone/something?,f28,No,No,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,locInversion,11,At the train arrived the station.,Did the station arrive at the train?,14IS,Yes,No,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,filler,49,The paramedic helped an invalid into the brick building,Did the paramedic receive someone/something?,f29,No,No,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,filler,32,The spokesman toasted a muffin for the agent after the early morning appointment.,Did the spokesman do something for someone/something?,f12,Yes,Yes,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,filler,34,A bystander was rescued by the fireman in the nick of time.,Did the fireman rescue someone/something?,f14,Yes,Yes,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,filler,24,A legislator lied to the consultant about a new bill.,Did the legislator lie about someone/something?,f4,Yes,Yes,3/8/2015,11:21,
A2KA1H6AA3Y80G,4,filler,21,The professor conducted an inquiry into the status of the file.,Did the professor conduct someone/something?,f1,Yes,Yes,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,26,The spy monitored a baroness for several months.,Did the spy watch someone/something?,f6,Yes,Yes,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,56,The Vikings raided a village in search of the warrior.,Did the warrior receive someone/something?,f36,No,No,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,42,The insurer paid the victim because his car had been destroyed.,Did the victim pay someone/something?,f22,No,No,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,53,The intern begged a programmer to edit the program because it was due the next day.,Did the intern receive someone/something?,f33,No,No,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,31,The colonel was knighted by the queen because of his loyalty.,Did the queen knight someone/something?,f11,Yes,Yes,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,locInversion,3,Into an old man wandered a bathroom.,Did an old man go into a bathroom?,6IS,No,No,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,40,The preacher irritated a parishioner because she was used to shorter sermons.,Was the parishioner irritated by someone/something?,f20,Yes,Yes,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,59,The alum was offended by the solicitor because he asked very personal questions.,Did the alum receive someone/something?,f39,No,No,3/8/2015,11:22,
A2KA1H6AA3Y80G,1,filler,60,The astronaut accepted the mission.,Did the astronaut receive someone/something?,f40,No,No,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,25,The toddler hugged a teddybear because he was scared.,Did the toddler hug someone/something?,f5,Yes,Yes,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,44,The sculptor brought a shell from the ocean floor.,Did the shell receive someone/something?,f24,No,No,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,39,The robot killed a scientist before escaping from the laboratory.,Did the robot escape from someone/something?,f19,Yes,Yes,3/8/2015,11:22,
A2KA1H6AA3Y80G,4,filler,28,The pianist met with a beautician to prepare for her recital.,Did the pianist meet with someone/something?,f8,Yes,Yes,3/8/2015,11:23,
A2KA1H6AA3Y80G,4,locInversion,15,On the apple was placed the teacher's desk.,Was the teacher's desk put on the apple?,18IS,Yes,Yes,3/8/2015,11:23,
A2KA1H6AA3Y80G,4,filler,22,The commissioner wrote a report for the chairman.,Did the commissioner write someone/something?,f2,Yes,Yes,3/8/2015,11:23,
A2KA1H6AA3Y80G,4,filler,35,The defendant misled a juryman when she said that she worked for the government.,Was the juryman misled by someone/something?,f15,Yes,Yes,3/8/2015,11:23,
A2KA1H6AA3Y80G,4,locInversion,20,The woods lives in an old woman.,Does a woman live in the woods?,3IO,No,No,3/8/2015,11:23,
A2KA1H6AA3Y80G,4,locInversion,7,On the painting hung the bedroom wall.,Was the painting hanging on the wall?,10IS,No,No,3/8/2015,11:23,
A2KA1H6AA3Y80G,4,filler,55,The beekeeper selected a honeycomb carefully from a hive of swarming bees.,Did the beekeeper eat someone/something?,f35,No,No,3/8/2015,11:23,
A2KA1H6AA3Y80G,4,locInversion,6,Into the metal detector walked the boy.,Did the boy go into the metal detector?,9PS,Yes,Yes,3/8/2015,11:23,
A2KA1H6AA3Y80G,4,filler,57,The jewelry-maker was commissioned by the millionaire.,Did the millionaire receive someone/something?,f37,No,No,3/8/2015,11:23,
